cytoband	10q26.3	9p21.3	1p36.23	11p15.5	3q29	6q26	8q24.3	10q23.31	17q11.2	4q35.2	13q14.3	13q14.2	4q34.3	6p25.3	13q34	19q13.32	19q13.43	2q37.1	2q37.3	1q42.12	9p24.2	10p11.23	14q31.1	21q21.1	1p32.3	1q44	5q15	2q36.3	7p22.3	
																	MIR5589											LINC01125		
																	UPK1A-AS1											DCDC2C		
																	NUCB1-AS1											LOC728730		
																	LIPE-AS1											PABPC1P2		
																	LOC100996349											C1GALT1C1L		
																	LINC01533											RGPD4-AS1		
																	LOC101059948											ANKRD20A8P		
																	IFNL4											LOC729224		
																	ZNF350-AS1											FAHD2CP		
																	LOC101927151											LOC729348		
																	LOC101927411											RAD51AP2		
																	LOC101927572											RGPD6		
																	ZNF529-AS1											DIRC3		
																	LINC01534											DNAJC27-AS1		
																	LINC01535											RGPD2		
																	ZNF793-AS1											MORN2		
																	LINC01480											LOC730100		
																	LOC101928063											MEIS1-AS3		
																	LOC101928238											MYT1L-AS1		
																	LOC101928295											RFX8		
																	PTOV1-AS2											SNORD11B		
																	LOC101928464											SNORA36C		
																	LOC101928517											SNORA70B		
																	ZNF649-AS1											MIR216B		
																	LOC101928804											MIR933		
																	LOC101928845											SLC8A1-AS1		
																	LOC101928886											OST4		
																	ZIM2-AS1											LOC100128905		
																	LOC101929124											LOC100129029		
																	LOC101929144											LOC100129175		
																	LOC101929164											TDRD15		
																	LOC101930071											LOC100129434		
																	SPACA6P-AS											LINC01126		
																	MIR6088											CCNT2-AS1		
																	MIR6795											LINC01460		
																	MIR6796											PP14571		
																	MIR6797											LOC100130451		
																	MIR6799											LOC100130452		
																	MIR6800											LOC100130691		
																	MIR6802											NEMP2		
																	MIR6804											RAB6C-AS1		
																	MIR6805											SP9		
																	MIR6806											LOC100132215		
																	MIR6886											CYP4F30P		
																	MIR7974											LOC100133920		
																	MIR8074											LOC100133985		
																	MIR8077											LINC01119		
																	MIR8085											LOC100144595		
																	MIR6719											RNU4ATAC		
																	MIR6807											DBIL5P2		
																	MIR6794											SNAR-H		
																	MIR6887											DCTN1-AS1		
																	MIR8061											FAR2P2		
																	MIR1199											ARHGEF33		
																	MIR6515											LOC100271832		
																	MIR6793											LIMS3-LOC440895		
																	MIR6798											LOC100286922		
																	MIR6803											ANAPC1P1		
																	MIR7975											LOC100287010		
																	MIR6801											SH3RF3-AS1		
																	ZNF30-AS1											LOC100288570		
																	LOC102723617											LOC100288911		
																	ZNF528-AS1											MIR1471		
																	LOC102724279											MIR1302-3		
																	LOC102724360											MIR1302-4		
																	LOC102724908											MIR1246		
																	LOC102724958											MIR1258		
																	LOC102725254											MIR1245A		
																	LENG8-AS1											MIR1301		
																	LINC01224											MIR1285-2		
																	BISPR											MIR1244-1		
																	LOC105372273											BRE-AS1		
																	LOC105372280											GPR75-ASB3		
																	LOC105372288											SNORA80B		
																	LOC105372383											ZEB2-AS1		
																	LOC105372397											MIR548F2		
																	LOC105372419											MIR663B		
																	LOC105372440											GCSHP3		
																	LOC105372441											SNORA70F		
																	LOC105372444											BOK-AS1		
																	LOC105372476											MIR3128		
																	LOC105372483											MIR548S		
																	LOC105447645											MIR4265		
																	PLA2G4C-AS1											MIR1244-3		
																	GLTSCR2-AS1											MIR1244-2		
																	SNORD135											MIR4264		
																	SNORA104											MIR3129		
																												MIR3127		
																												MIR4261		
																												MIR3133		
																												MIR3131		
																												MIR4268		
																												MIR4263		
																												MIR3125		
																												MIR3130-1		
																												MIR4267		
																												MIR4262		
																												MIR3130-2		
																												MIR4266		
																												MIR3126		
																												MIR2355		
																												MIR3132		
																												MIR4269		
																												LINC00276		
																												LOC100499194		
																												MIR3606		
																												MIR3682		
																												MIR3679		
																												MIR3681		
																												GTF3C2-AS1		
																												LOC100505716		
																												LOC100505736		
																												CEBPZOS		
																												LINC01304		
																												LOC100505984		
																												RNASEH1-AS1		
																												LOC100506076		
																												SIX3-AS1		
																												LOC100506123		
																												LOC100506124		
																												TTC21B-AS1		
																												LOC100506142		
																												LOC100506274		
																												LOC100506286		
																												ID2-AS1		
																												LINC01127		
																												LINC01158		
																												MIR3681HG		
																												LOC100506474		
																												AGAP1-IT1		
																												HOXD-AS2		
																												TTN-AS1		
																												LOC100507006		
																												LOC100507073		
																												LOC100507140		
																												BOLA3-AS1		
																												LOC100507201		
																												LOC100507334		
																												LOC100507443		
																												IDH1-AS1		
																												LOC100507600		
																												LY75-CD302		
																												RNF103-CHMP3		
																												NT5C1B-RDH14		
																												PHOSPHO2-KLHL23		
																												HSPE1-MOB4		
																												INO80B-WBP1		
																												UBE2F-SCLY		
																												MIR4436B1		
																												MIR4430		
																												MIR4772		
																												MIR4779		
																												MIR4783		
																												MIR4439		
																												MIR4782		
																												MIR4437		
																												MIR4765		
																												MIR4433A		
																												MIR4776-1		
																												MIR548AE1		
																												MIR4757		
																												MIR4777		
																												MIR1245B		
																												MIR4435-2		
																												MIR4426		
																												MIR4774		
																												MIR2467		
																												MIR4775		
																												MIR4785		
																												MIR4771-1		
																												MIR4438		
																												MIR4784		
																												MIR4773-1		
																												MIR4444-1		
																												MIR4440		
																												MIR4436A		
																												MIR4786		
																												MIR4434		
																												MIR4431		
																												MIR4780		
																												MIR4778		
																												MIR4429		
																												MIR4432		
																												MIR548AD		
																												MIR4441		
																												MIR4435-1		
																												PARTICL		
																												KIAA2012		
																												MIR5000		
																												MIR5696		
																												MIR5001		
																												MIR548AU		
																												MIR5702		
																												MIR5590		
																												MIR5703		
																												MIR5192		
																												CERS6-AS1		
																												MEIS1-AS2		
																												XIRP2-AS1		
																												AGBL5-AS1		
																												DGUOK-AS1		
																												LINC00570		
																												STEAP3-AS1		
																												TGFA-IT1		
																												ALMS1-IT1		
																												HS1BP3-IT1		
																												VWC2L-IT1		
																												LOC100996579		
																												LOC100996693		
																												LOC101060019		
																												LOC101060091		
																												LOC101060385		
																												LOC101060391		
																												OSGEPL1-AS1		
																												RMDN2-AS1		
																												GPR1-AS		
																												SCHLAP1		
																												CAPN10-AS1		
																												LOC101805491		
																												LOC101926913		
																												LOC101926966		
																												LOC101927027		
																												LOC101927043		
																												LOC101927050		
																												LOC101927053		
																												LOC101927055		
																												LOC101927070		
																												LOC101927142		
																												LOC101927156		
																												LOC101927165		
																												LOC101927196		
																												LINC01473		
																												LOC101927285		
																												LINC01237		
																												LOC101927331		
																												LINC01103		
																												LOC101927402		
																												LOC101927406		
																												LOC101927431		
																												LOC101927438		
																												LOC101927482		
																												UTAT33		
																												ANKRD44-IT1		
																												LINC01250		
																												LOC101927577		
																												DPP10-AS3		
																												LOC101927596		
																												LOC101927619		
																												LOC101927641		
																												LOC101927661		
																												LOC101927701		
																												LOC101927709		
																												ATP6V1B1-AS1		
																												LOC101927795		
																												LOC101927865		
																												LOC101927881		
																												LOC101927884		
																												LOC101927907		
																												LOC101927924		
																												LOC101927926		
																												LOC101927948		
																												LOC101927960		
																												LOC101927967		
																												LOC101927987		
																												LINC01087		
																												LOC101928020		
																												LOC101928103		
																												LOC101928111		
																												ST3GAL5-AS1		
																												LOC101928161		
																												LOC101928185		
																												LOC101928222		
																												LINC01280		
																												DARS-AS1		
																												LOC101928273		
																												LOC101928327		
																												LOC101928371		
																												LOC101928386		
																												LOC101928403		
																												LINC01412		
																												CATIP-AS1		
																												LINC01494		
																												LOC101928881		
																												PGM5P3-AS1		
																												LOC101929231		
																												LOC101929260		
																												LOC101929282		
																												LOC101929319		
																												LOC101929378		
																												LINC01247		
																												LOC101929452		
																												LOC101929512		
																												LOC101929532		
																												LOC101929551		
																												LINC00211		
																												LOC101929567		
																												LOC101929570		
																												LOC101929596		
																												LOC101929633		
																												LOC101929680		
																												LOC101929715		
																												LOC101929723		
																												LOC101929733		
																												LOC101929753		
																												LOC101929882		
																												LOC101929926		
																												RNU6-7		
																												MIR6512		
																												MIR6513		
																												MIR6809		
																												MIR6811		
																												MIR6888		
																												MIR7157		
																												MIR7158		
																												MIR7704		
																												MIR4433B		
																												MIR7845		
																												MIR548BA		
																												MIR8080		
																												MIR6810		
																												MIR7515		
																												MIR6071		
																												LINC01159		
																												LOC102723362		
																												LINC01248		
																												LOC102723824		
																												LOC102723854		
																												LOC102723927		
																												LOC102724058		
																												LINC01117		
																												LINC01628		
																												LINC01291		
																												LOC102724579		
																												LOC102724691		
																												LOC102724714		
																												LINC01594		
																												LANCL1-AS1		
																												LOC102724849		
																												LOC102725079		
																												HAGLROS		
																												MIR7515HG		
																												LINC01246		
																												LOC102800447		
																												PGM5P4-AS1		
																												MIR9500		
																												MIR8485		
																												RNU6-2		
																												CATIP-AS2		
																												MYCNUT		
																												BIRC6-AS2		
																												NRIR		
																												GACAT1		
																												DLX2-AS1		
																												LINC01143		
																												LINC01090		
																												LINC01317		
																												LINC01320		
																												MIR217HG		
																												GACAT3		
																												LOC105373352		
																												LOC105373394		
																												LOC105373496		
																												LOC105373518		
																												LOC105373519		
																												LOC105373553		
																												LOC105373562		
																												LOC105373609		
																												LOC105373635		
																												LOC105373656		
																												LOC105373764		
																												LOC105373782		
																												LOC105373805		
																												LINC01614		
																												LOC105373876		
																												DIRC3-AS1		
																												LOC105373878		
																												LOC105373984		
																												LOC105374389		
																												LOC105374596		
																												LOC105374820		
																												LOC105616981		
																												LOC105747689		
																												LINC01173		
																												LINC01381		
																												LINC01318		
																												SNORA105A		
																												SNORD132		
																												MIR4432HG		
																												AOX3P-AOX2P		
																												LINC01593		
